ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000158406,10.130255507933,1.7437646697585059,0.32175385313736554,5.419561110940434,5.974552517218984e-08,2.6073668800722995e-07,HIST1H4H
ENSG00000110321,105.51118847074339,-0.5563831185416892,0.10271307417399365,-5.416867550855198,6.065223598433953e-08,2.644588177702257e-07,EIF4G2
ENSG00000196230,35.88194434780205,-1.0203592245143867,0.18838035320800572,-5.4164842943453175,6.078232706910132e-08,2.6479109505103186e-07,TUBB
ENSG00000159199,14.921534133764478,-2.0995820999563644,0.38774581807833747,-5.414841378204573,6.134306210641784e-08,2.6699717200260167e-07,ATP5G1
ENSG00000100142,34.99452566707677,-0.9451764694313803,0.17457942015784506,-5.414019983436789,6.162528411742113e-08,2.6798818243628976e-07,POLR2F
ENSG00000099968,20.962812260917346,1.4108255864017147,0.26060241413454466,5.413708814198971,6.173252659244059e-08,2.682171845050867e-07,BCL2L13
ENSG00000113811,247.56391687659436,0.5884359851023299,0.10884567767325781,5.406149308645466,6.439412293482681e-08,2.792874846440767e-07,SELK
ENSG00000146776,7.8713318556528655,2.3405379696232607,0.43293591495567274,5.406199598531582,6.437605457951945e-08,2.792874846440767e-07,ATXN7L1
ENSG00000118508,117.42764151780344,0.573169091941435,0.10606607733314116,5.403886957572475,6.521205113832282e-08,2.825855549327322e-07,RAB32
ENSG00000179918,21.669892162906688,-1.2375930270097122,0.22911466704433836,-5.40163160645762,6.603746275817844e-08,2.8591021321029856e-07,SEPHS2
ENSG00000100030,25.34443451121507,-1.0412952055082982,0.19303520536911417,-5.394327959592528,6.87804914455729e-08,2.975240624679096e-07,MAPK1
ENSG00000173846,14.082041253799659,-1.56826768232707,0.2909993910333907,-5.389247299651975,7.07533896637904e-08,3.057890561194952e-07,PLK3
ENSG00000241468,81.08538374949472,-0.8184398768274146,0.1520495166397769,-5.38271935955176,7.336888150684002e-08,3.168143090725939e-07,ATP5J2
ENSG00000167996,80156.32322577,-0.4063402076406019,0.07549697757055852,-5.382204966560966,7.357891302211121e-08,3.1744229902603556e-07,FTH1
ENSG00000170921,5.844883499900864,-3.2337122214936307,0.6008916445468979,-5.381523026388577,7.385825356996798e-08,3.1836794565159886e-07,TANC2
ENSG00000187474,114.9552897900477,0.9328890220691781,0.17349636503026114,5.376994624103301,7.573943406262644e-08,3.261906914844403e-07,FPR3
ENSG00000182512,6.971980745515732,-2.4354930310031073,0.4529974850289012,-5.376394155582835,7.59923377064326e-08,3.2699329902750416e-07,GLRX5
ENSG00000127311,6.690018782151634,3.7396210539018506,0.6958614561454414,5.374088506951642,7.697104539535175e-08,3.30914888077654e-07,HELB
ENSG00000171204,18.706635051669913,1.145173977886221,0.21334776192806235,5.367639986175981,7.977358733832314e-08,3.426638183396153e-07,TMEM126B
