section,producer_celltype_minor,spearman,mean_absolute_difference,spots,nnls_mean_residual,nnls_unknown_spots,dominant_component_agreement
CID44971,Cycling T-cells,0.4640104841951666,0.02266712048922706,1160,28.26804719991497,0,
CID44971,Cycling_Myeloid,0.3520122876597492,0.028469383042940066,1160,28.26804719991497,0,
CID44971,DCs,0.23870900683792162,0.028362162184979826,1160,28.26804719991497,0,
CID44971,Endothelial ACKR1,0.3064102324423716,0.05045021698472029,1160,28.26804719991497,0,
CID44971,Endothelial CXCL12,0.18469003694806096,0.038579332612224106,1160,28.26804719991497,0,
CID44971,Endothelial Lymphatic LYVE1,0.18487930594897156,0.03659193033296456,1160,28.26804719991497,0,
CID44971,Endothelial RGS5,0.4167624923794431,0.02809398981516512,1160,28.26804719991497,0,
CID44971,Luminal Progenitors,0.6347750252320002,0.05076987734646212,1160,28.26804719991497,0,
CID44971,Macrophage,0.6247166035256766,0.06385261161555858,1160,28.26804719991497,0,
CID44971,Mature Luminal,0.4622391554496777,0.011203679529187953,1160,28.26804719991497,0,
CID44971,Monocyte,0.055203801889454174,0.03735691641783858,1160,28.26804719991497,0,
CID44971,Myoepithelial,0.5695879124673205,0.073717713071624,1160,28.26804719991497,0,
CID44971,NK cells,0.050569701349868615,0.03192702981980925,1160,28.26804719991497,0,
CID44971,NKT cells,0.05943604004088517,0.03613620087443108,1160,28.26804719991497,0,
CID44971,PVL Differentiated,0.14405000780729937,0.03727638343451799,1160,28.26804719991497,0,
CID44971,PVL Immature,0.08157187676720729,0.0374606236367706,1160,28.26804719991497,0,
CID44971,Plasmablasts,0.6438417710293796,0.03116854047479325,1160,28.26804719991497,0,
CID44971,T cells CD4+,0.015571934173566756,0.03666629330002973,1160,28.26804719991497,0,
CID44971,T cells CD8+,0.11921112754252086,0.04144860761483922,1160,28.26804719991497,0,
CID44971,__DOMINANT_COMPONENT_AGREEMENT__,,,1160,28.26804719991497,0,0.15689655172413794
CID4535,B cells Memory,0.051616842226360184,0.0382388243088757,1125,25.529740583734498,0,
CID4535,B cells Naive,0.054028882086463524,0.03139991924285317,1125,25.529740583734498,0,
CID4535,CAFs MSC iCAF-like,0.12013223046629411,0.0340520446784421,1125,25.529740583734498,0,
CID4535,CAFs myCAF-like,0.6259854702254363,0.09318545922229171,1125,25.529740583734498,0,
CID4535,Cancer Basal SC,-0.05005547867147028,0.03906128926003982,1125,25.529740583734498,0,
CID4535,Cancer Cycling,,0.04182694390569543,1125,25.529740583734498,0,
CID4535,Cancer Her2 SC,,0.039701874202470865,1125,25.529740583734498,0,
CID4535,Cancer LumA SC,,0.042659531192278444,1125,25.529740583734498,0,
CID4535,Cancer LumB SC,0.8044493653701114,0.6105720015067323,1125,25.529740583734498,0,
CID4535,Cycling PVL,0.1187707904998022,0.045497530832431424,1125,25.529740583734498,0,
CID4535,Cycling T-cells,0.44784573488439444,0.02184097682205768,1125,25.529740583734498,0,
CID4535,Cycling_Myeloid,0.2541307616441175,0.03469643999092644,1125,25.529740583734498,0,
CID4535,DCs,0.29143229977177676,0.026116381619884024,1125,25.529740583734498,0,
CID4535,Endothelial ACKR1,0.25826455239090457,0.040743376698514036,1125,25.529740583734498,0,
CID4535,Endothelial CXCL12,0.22402060846372032,0.035017217994706244,1125,25.529740583734498,0,
CID4535,Endothelial Lymphatic LYVE1,0.07892003261182605,0.024325632275257778,1125,25.529740583734498,0,
CID4535,Endothelial RGS5,0.33642102285919673,0.023279879500129316,1125,25.529740583734498,0,
CID4535,Luminal Progenitors,0.051616842226360184,0.04495037391069866,1125,25.529740583734498,0,
CID4535,Macrophage,0.4809343819025117,0.07339429156829795,1125,25.529740583734498,0,
CID4535,Mature Luminal,,0.036312315260563444,1125,25.529740583734498,0,
CID4535,Monocyte,0.021366134972825572,0.035628095142542116,1125,25.529740583734498,0,
CID4535,Myoepithelial,0.17506082593238614,0.025449434635141082,1125,25.529740583734498,0,
CID4535,NK cells,,0.030643687030339796,1125,25.529740583734498,0,
CID4535,NKT cells,0.018413131294701138,0.03900463875203218,1125,25.529740583734498,0,
CID4535,PVL Differentiated,0.01822009450433716,0.0416677763459342,1125,25.529740583734498,0,
CID4535,PVL Immature,0.04111680580736657,0.03244210042688236,1125,25.529740583734498,0,
CID4535,Plasmablasts,0.5868521613958362,0.025559494777716744,1125,25.529740583734498,0,
CID4535,T cells CD4+,,0.03895718484423143,1125,25.529740583734498,0,
CID4535,T cells CD8+,0.009663014218895222,0.03875107460513457,1125,25.529740583734498,0,
CID4535,__DOMINANT_COMPONENT_AGREEMENT__,,,1125,25.529740583734498,0,0.030222222222222223
