seed,grid_id,donors_per_group,cells_per_donor,donor_sd,nonnull_fraction,method,discoveries,true_positive,false_positive,fdp,sensitivity,any_false_positive,pvalue_nonfinite,two_methods_seconds
269914,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0024417000240646303
269914,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0024417000240646303
269915,9,8,20,0.0,0.2,cell_welch,43,40,3,0.06976744186046512,1.0,1,0,0.0019581999513320625
269915,9,8,20,0.0,0.2,donor_mean_welch,43,40,3,0.06976744186046512,1.0,1,0,0.0019581999513320625
269916,9,8,20,0.0,0.2,cell_welch,41,39,2,0.04878048780487805,0.975,1,0,0.0025522999931126833
269916,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0025522999931126833
269917,9,8,20,0.0,0.2,cell_welch,43,40,3,0.06976744186046512,1.0,1,0,0.0017351999995298684
269917,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.0017351999995298684
269918,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0015102000324986875
269918,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0015102000324986875
269919,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0030396999791264534
269919,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0030396999791264534
269920,9,8,20,0.0,0.2,cell_welch,43,40,3,0.06976744186046512,1.0,1,0,0.001520699996035546
269920,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.001520699996035546
269921,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0017963999998755753
269921,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0017963999998755753
269922,9,8,20,0.0,0.2,cell_welch,40,40,0,0.0,1.0,0,0,0.003286799998022616
269922,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.003286799998022616
269923,9,8,20,0.0,0.2,cell_welch,43,40,3,0.06976744186046512,1.0,1,0,0.001456799975130707
269923,9,8,20,0.0,0.2,donor_mean_welch,43,40,3,0.06976744186046512,1.0,1,0,0.001456799975130707
269924,9,8,20,0.0,0.2,cell_welch,40,40,0,0.0,1.0,0,0,0.0027317999629303813
